corr	mae	rae	rmse	rrse	mape	r2
0.6945569791985771	155.43462001607548	0.7269383875365375	226.55504769539837	0.7323399887308131	15.09214313148892	0.46367814090575266
0.6954153448386989	152.1170513746785	0.711422745020929	225.78958197666927	0.7298656181019952	14.693038822528031	0.4672961795125924
0.7012459892276363	150.4573287330047	0.7036605354129828	224.88629369365643	0.7269457355492493	14.632948475351782	0.4715498975667608
0.7016265735396637	152.10502247254985	0.711366488115509	227.07178683801888	0.7340103498273014	14.803570528822293	0.4612288063464026
0.7050570703107647	152.73299389457324	0.7143033919590509	227.45690575185876	0.7352552480711962	14.900276895983621	0.4593997201837636
0.6850206791733116	157.4399747906518	0.736317053409806	231.20525983967323	0.7473718158473416	15.36104151274598	0.44143536887704726
0.7031664140135176	147.8606954417203	0.6915165714904362	223.67556401448584	0.7230320476017975	14.224170154347412	0.477224658140752
0.6973095865921498	160.23090193966158	0.749369693041976	230.1526421846222	0.7439692255741187	15.698024661157111	0.446509791398646
0.6986615334969201	151.03450199094468	0.7063598658286436	225.93013668374002	0.7303199616870945	14.586239908171935	0.4666327535613609
0.7012415343588795	148.34195664169928	0.6937673393094743	225.47586926864955	0.728851540669632	14.3019835226359	0.46877543166350377
0.6971067861764949	158.2795254808185	0.7402434735657651	230.73358331707078	0.7458471198285989	15.521468699528823	0.44371207384338374
0.704093979718619	157.6079357063233	0.7371025749184298	229.4240900255457	0.7416141781567456	15.466532676467967	0.4500084107568949
0.7045606741423538	155.83891037935007	0.7288291772765902	227.81743048130238	0.7364206455275041	15.240978375858521	0.45768463284085414
0.7008791190740253	152.06168009889032	0.7111637840125439	226.1967026120311	0.7311816369881151	14.698848940140918	0.4653734137313802
0.6982421249865546	155.34698660341428	0.7265285426018141	227.72382052666177	0.7361180510197942	15.199039367375185	0.4581302149628197
0.697194553309364	157.397592498264	0.7361188394257829	230.0645958844597	0.7436846155990829	15.374199328876866	0.4469331925212442
0.69942119059605	156.96138833205276	0.7340787948514821	229.05574994055544	0.7404235175361376	15.327985884209411	0.451773014679413
0.6965200226748895	152.4106469212515	0.7127958359912133	227.00925360848686	0.7338082109428377	14.751794878921235	0.46152550955287186
0.7065694750015676	155.63045724567505	0.7278542813051845	226.5241335707987	0.732240058714284	15.260458368948267	0.46382449641410195
0.695608054327508	153.75703380519334	0.7190926333862326	226.47187400150094	0.7320711294726716	14.945149424886026	0.4640718613926068
0.7032969145717872	154.09501462881673	0.7206733059218469	226.29393746948546	0.7314959490069236	14.996332361008346	0.4649136765864602
0.7008443035610035	152.77862235172904	0.7145167876431475	226.85703371731887	0.7333161596091041	14.84629185799947	0.462247410056155
0.6967151843585055	158.9396135389027	0.7433305808558027	228.81411044193035	0.7396424170067071	15.530112586603268	0.4529290949644764
0.7035903711454617	158.8390466941949	0.7428602486999164	229.05568106417715	0.7404232948930024	15.689971986006205	0.45177334437979
0.6970788884284236	152.60510656813204	0.7137052870654313	227.0104584974916	0.7338121057507846	14.817018870152202	0.4615197934535994
0.6960576625967156	156.0263887864571	0.7297059784097368	227.42375273851437	0.7351480808389231	15.2834105945691	0.45955729923884814
0.6989451020309657	154.24738008172594	0.7213858903939718	228.0313709075418	0.7371122087079983	15.016580053205503	0.4566655917736163
0.7029892495774009	151.07227970110492	0.7065365450504661	225.70009208635327	0.7295763417167096	14.6501554225195	0.467718361607263
0.7084265748584196	147.2926395823496	0.6888598814274444	222.73891074370255	0.7200043126087006	14.243648078257687	0.48159378982487255
0.6897395797758995	151.44527931385048	0.708280993854812	225.67087584005873	0.7294819000977752	14.504563475952462	0.4678561574297395
