corr	mae	rae	rmse	rrse	mape	r2
0.7309699615683066	130.72122976031488	0.6657655892260697	171.11462867158377	0.7104674031397642	14.878679445818744	0.49523606907583984
0.727960087644393	132.02016441607267	0.6723810869385866	178.1269672932639	0.7395826111682002	14.34672622117108	0.4530175612576267
0.7341371169269763	130.41838374429307	0.6642231889849518	175.07882788079596	0.7269267458596855	14.260545994016674	0.4715775061538482
0.7387481018531253	131.70658452757652	0.6707840188906736	179.93579872945506	0.7470928736347413	14.075940902849885	0.4418522381641844
0.7232352644679932	136.27402262212328	0.6940460637769179	183.5475146230489	0.7620887067304908	14.676953436150178	0.419220803073848
0.7277560967987232	131.95978761257942	0.672073586785574	172.50726267337228	0.7162496151601858	15.055947701481406	0.48698648878288575
0.7183544516890796	132.41161924802512	0.6743747734830603	173.79255898836246	0.721586161440684	14.854195802460183	0.4793134116172991
0.7338288417281044	130.63487305585284	0.6653257729671864	176.66917954220767	0.7335298809845658	14.173774062284464	0.4619339137027686
0.741193985453182	128.38187388265678	0.6538512073987703	173.3639248419138	0.7198064738050414	14.074663218967038	0.48187864026835225
0.7353334709620142	130.0349860423098	0.6622705375492453	174.31340153939664	0.7237486980838145	14.242878429306439	0.4761878220219836
0.7268716845270471	131.65282738006852	0.6705102327654099	175.9018115072145	0.7303437713029651	14.504663357358707	0.4665979757189622
0.7375082858909286	128.5074361201438	0.6544906981469706	168.79137161323578	0.7008212470987247	14.540425511171371	0.5088495796149883
0.7343944737378044	129.69610539852783	0.6605446122967173	170.9914933223253	0.7099561455547083	14.53407427032109	0.49596227138910187
0.7220109512324991	134.28947541549456	0.6839387289332151	178.28408174555247	0.7402349498827786	14.747339409429811	0.4520522189720402
0.7350204558809185	142.96558338262938	0.7281263038475546	175.5480526118438	0.7288749654756503	17.62898399378779	0.4687412847028696
0.7263140691565338	134.6094805118387	0.6855685206809943	183.22973774578605	0.7607692981298381	14.329192878993588	0.42123007502303356
0.7175369719605103	133.99620362836862	0.6824450904131577	177.11452504913802	0.7353789541366693	14.940336985223187	0.45921779381285843
0.7247315000298838	133.17994543944624	0.6782878726826871	179.13130384060824	0.7437526133720421	14.538817878873731	0.4468320501022577
0.7048671387948163	137.96071272891976	0.7026364070199561	178.76119100391958	0.7422159060315168	15.54814073762999	0.44911554883381466
0.728452417968385	131.97452676589634	0.672148653560196	175.5236723455576	0.7287737386862713	14.63873000766057	0.46888883780123436
0.7259601353494141	136.80115109893077	0.6967307386503342	186.90843786098483	0.7760432495042201	14.419037716712133	0.39775687489893075
0.7279508411048797	133.0535819515959	0.6776443011518837	181.51034898112198	0.753630401355775	14.244901756558658	0.43204121815233354
0.7227262060601704	132.3879159395183	0.6742540521038047	174.5246431332991	0.7246257725211088	14.800806331759295	0.47491748979818627
0.7369866997961001	130.4502048285847	0.6643852543432114	170.03694607225472	0.7059928683574475	14.96319627935321	0.5015740698284239
0.7295049749706581	133.32906988532673	0.6790473661847116	180.4544471403814	0.7492463002150053	14.351505559377435	0.43862998161412614
0.7265321504506528	130.52134365212555	0.664747565659119	173.20258724705533	0.7191366006157192	14.47044085782861	0.4828425496548676
0.7345918985424528	129.0892595014562	0.6574539351590092	170.91544399401673	0.7096403889813903	14.462367585803143	0.4964105183263412
0.7265033722754104	136.1311001904615	0.6933181572455658	183.520969432901	0.7619784911840081	14.630184361819657	0.41938877897294247
0.7325358097935888	133.1194828898215	0.677979935823075	180.46302465554493	0.749281914031141	14.299051919909184	0.43857661330582987
0.7285410605038436	133.45084019011702	0.6796675445510536	181.52397798471665	0.7536869889360798	14.261065747365572	0.4319559227084656
